Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days
1997-09-08,9.3125,9.375,9.125,9.125,9.125,130600,VSAT,1.2671232876712328,0.7842465753424658,0.9315068493150684
1997-09-09,9.25,9.3125,9.125,9.25,9.25,27800,VSAT,1.2567567567567568,0.7331081081081081,0.918918918918919
1997-09-10,9.375,9.4375,8.875,8.875,8.875,115200,VSAT,1.2816901408450705,0.7605633802816901,0.9295774647887324
1997-09-11,9.1875,9.25,8.8125,9.1875,9.1875,113400,VSAT,1.2653061224489797,0.7210884353741497,0.9387755102040817
1997-09-12,9.375,10.625,9.375,10.5,10.5,377600,VSAT,1.1011904761904763,0.5892857142857143,0.8720238095238095
1997-09-15,11.5,11.6875,11.0,11.1875,11.1875,475000,VSAT,1.0279329608938548,0.5642458100558659,0.8463687150837989
1997-09-16,11.6875,11.75,9.75,9.9375,9.9375,692200,VSAT,1.10062893081761,0.6226415094339622,0.949685534591195
1997-09-17,10.0625,10.53125,9.96875,10.5,10.5,277400,VSAT,1.0357142857142858,0.5714285714285714,0.8630952380952381
1997-09-18,10.625,10.75,10.15625,10.28125,10.28125,232000,VSAT,1.0516717325227964,0.5896656534954408,0.851063829787234
1997-09-19,10.25,10.5625,10.25,10.3125,10.3125,59200,VSAT,1.0787878787878789,0.5757575757575758,0.8606060606060606
1997-09-22,10.5625,10.5625,9.5,10.0,10.0,110200,VSAT,1.10625,0.584375,0.9125
1997-09-23,10.0,10.625,10.0,10.5,10.5,190600,VSAT,1.0238095238095237,0.5565476190476191,0.8928571428571429
1997-09-24,10.625,10.625,10.3125,10.5,10.5,37800,VSAT,0.9761904761904762,0.5595238095238095,0.8630952380952381
1997-09-25,10.625,10.6875,10.3125,10.4375,10.4375,44400,VSAT,0.8203592814371258,0.6047904191616766,0.7664670658682635
1997-09-26,10.375,10.625,10.3125,10.625,10.625,26600,VSAT,0.8867647058823529,0.6411764705882353,0.7441176470588236
