Date,Open,High,Low,Close,Adj Close,Volume,ticker
1994-05-17,5.6875,5.71875,5.65625,5.65625,1.746398687362671,38000,ELS
1994-05-18,5.6875,5.6875,5.625,5.625,1.7367497682571411,284000,ELS
1994-05-19,5.625,5.75,5.625,5.75,1.7753452062606812,155600,ELS
1994-05-20,5.71875,5.78125,5.71875,5.78125,1.7849929332733154,124400,ELS
1994-05-23,5.75,5.78125,5.75,5.75,1.7753452062606812,158400,ELS
1994-05-24,5.78125,5.90625,5.78125,5.84375,1.8042906522750854,120000,ELS
1994-05-25,5.84375,5.875,5.78125,5.8125,1.7946420907974243,98000,ELS
1994-05-26,5.84375,5.84375,5.75,5.8125,1.7946420907974243,20400,ELS
1994-05-27,5.84375,6.0,5.84375,5.9375,1.833236813545227,141200,ELS
1994-05-31,5.875,5.875,5.84375,5.875,1.8139383792877197,22000,ELS
1994-06-01,5.84375,5.84375,5.8125,5.84375,1.8042906522750854,16400,ELS
1994-06-02,5.875,5.9375,5.84375,5.90625,1.8235869407653809,183200,ELS
1994-06-03,5.875,5.875,5.71875,5.78125,1.7849929332733154,38400,ELS
1994-06-06,5.78125,5.78125,5.6875,5.6875,1.7560482025146484,120800,ELS
1994-06-07,5.71875,5.71875,5.65625,5.71875,1.7656959295272827,59200,ELS
1994-06-08,5.71875,5.71875,5.6875,5.6875,1.7560482025146484,28800,ELS
1994-06-09,5.71875,5.71875,5.625,5.71875,1.7656959295272827,192000,ELS
1994-06-10,5.71875,5.71875,5.6875,5.6875,1.7560482025146484,23200,ELS
1994-06-13,5.625,5.625,5.59375,5.625,1.7367497682571411,84000,ELS
